uwb_x	uwb_y	enc_x	enc_y	enc_t	gyro_x	gt_x	gt_y
2090	279	61835	-703	-456	-129.09	2238.53	422.117
2108	318	61880	-703	-456	-128.77	2235.13	454.919
2133	360	61928	-702	-456	-128.99	2248.49	501.238
2134	408	61975	-700	-455	-128.98	2261.83	538.015
2158	444	62026	-701	-455	-128.72	2267.27	591.396
2165	497	62076	-701	-455	-128.56	2280.27	626.071
2146	546	62124	-700	-455	-128.61	2281.5	633.142
2144	590	62172	-699	-455	-127.91	2283.48	726.897
2177	635	62218	-699	-455	-127.92	2291.26	765.262
2177	680	62265	-698	-454	-127.45	2308.89	819.761
2208	721	62311	-698	-454	-127.48	2312.43	858.643
2201	769	62357	-696	-454	-127.66	2328.34	907.357
2177	812	62403	-696	-454	-127.69	2332.18	963.179
2156	852	62449	-696	-454	-128.08	2323.71	999.656
2142	889	62493	-696	-454	-127.42	2316.33	1045.25
2127	930	62541	-697	-454	-127.91	2311.26	1082.29
2121	978	62590	-696	-454	-128.15	2309.61	1122.04
2105	1018	62639	-697	-454	-127.7	2307.38	1176.95
2107	1057	62685	-697	-454	-127.32	2303.77	1214.94
2124	1099	62732	-696	-454	-127.05	2303.14	1266.73
2138	1144	62781	-695	-454	-127.14	2315.48	1309.69
2147	1181	62828	-694	-453	-127.39	2329.57	1347.63
2164	1223	62878	-694	-453	-127.14	2339.63	1393.37
2174	1272	62927	-695	-454	-127.49	2348.41	1431.66
2183	1325	62976	-695	-454	-127.51	2357.07	1483.29
2217	1388	63025	-696	-454	-127.48	2359.25	1533.26
2229	1437	63074	-696	-454	-127.54	2380.24	1595.69
2237	1480	63125	-696	-454	-127.37	2387.63	1640.11
2255	1529	63172	-696	-454	-125.41	2398.75	1679.67
2251	1566	63212	-699	-454	-121.34	2406.28	1733.08
2257	1612	63243	-706	-452	-117.9	2406.79	1769.41
2281	1638	63260	-713	-449	-113.1	2415.67	1823.28
2286	1664	63267	-718	-445	-106.61	2427.86	1848.56
2300	1686	63268	-718	-440	-101.39	2442.52	1885.51
2333	1698	63270	-718	-434	-96.48	2451.02	1901.61
2358	1714	63270	-717	-429	-91.2	2461.21	1914.43
2356	1722	63270	-718	-423	-85.31	2479.47	1923.23
2381	1727	63270	-718	-418	-79.39	2479	1926.28
2401	1745	63270	-717	-412	-74.22	2490.56	1923.96
2434	1760	63270	-718	-407	-69.46	2503.19	1934.72
2451	1761	63271	-718	-401	-63.47	2518.47	1948.63
2464	1780	63271	-717	-396	-58.21	2521.27	1947.03
2458	1794	63270	-718	-390	-52.91	2527.36	1960.24
2503	1812	63270	-718	-385	-47.92	2528.14	1968.07
2527	1826	63270	-718	-380	-42.77	2534.59	1980.74
2572	1833	63276	-716	-375	-40.87	2531.62	1978.55
2578	1834	63290	-709	-371	-39.05	2532.33	1980.03
2603	1844	63315	-700	-368	-38.24	2533.42	1979.17
2601	1837	63344	-694	-366	-36.98	2537.06	1975.6
2584	1843	63380	-690	-365	-36.49	2533.41	1970.94
2569	1860	63425	-688	-365	-36.59	2525.07	1970.21
2533	1862	63473	-686	-364	-36.98	2496.02	1969.4
2502	1866	63520	-686	-364	-36.8	2477.54	1967.9
2474	1872	63568	-687	-365	-37.33	2453.57	1970.63
2419	1878	63618	-687	-364	-37.67	2379.64	1979.08
2373	1883	63666	-688	-365	-38.02	2345.69	1983.49
2332	1890	63713	-689	-365	-37.94	2289.95	1990.69
2298	1894	63760	-691	-365	-37.61	2258.78	1998.1
2249	1892	63809	-690	-365	-37.82	2229.08	2002.47
2212	1900	63858	-689	-365	-37.8	2170.7	2009.21
2172	1899	63908	-689	-365	-37.51	2138.97	2014.32
2124	1900	63955	-690	-365	-38.21	2107.29	2020.61
2095	1887	64002	-689	-365	-38.03	2026.42	2026.91
2049	1877	64050	-690	-365	-38.05	1997.61	2025.13
